feature,target,score_ind,score_rd,score_full,varExp_ofFull,varExp_ofRd,feat_idx,feat_gene,feat_source,Class
AL035661.1 (ENSG00000274173) [RNA-seq],STX4,0.1625,0.64798,0.27466,0.5916399999999999,0.25078,7,AL035661.1,RNA-seq,22
CNKSR1 (ENSG00000142675) [RNA-seq],CCDC130,0.02704,0.46479,0.12318,0.21952,0.05818,10,CNKSR1,RNA-seq,20
CNKSR1 (ENSG00000142675) [RNA-seq],KIF18B,0.0656,0.51398,0.02831,2.3172,0.12763,7,CNKSR1,RNA-seq,20
FBXO42 (54455) [CERES],CCDC6,0.47038,0.52805,0.04998,9.41136,0.89079,1,FBXO42,CERES,20
FBXO42 (54455) [CERES],USP7,0.06842000000000001,0.3661,0.05498,1.24445,0.18689,10,FBXO42,CERES,20
FBXO42 (54455) [CERES],XRN1,-0.11349,0.23423,0.06337000000000001,-1.7909099999999998,-0.48452,8,FBXO42,CERES,20
FAM122A (116224) [CERES],CCDC6,-0.27068000000000003,0.52805,0.04998,-5.415769999999998,-0.5126,2,FAM122A,CERES,14
FAM122A (ENSG00000187866) [RNA-seq],RBM18,-0.00822,0.22667,0.10813,-0.07602,-0.03626,6,FAM122A,RNA-seq,14
ACY3 (91703) [CERES],CCDC6,-0.24735,0.52805,0.04998,-4.9489800000000015,-0.46842,3,ACY3,CERES,20
PPP2R1A (ENSG00000105568) [RNA-seq],CCDC6,0.00344,0.52805,0.04998,0.06883,0.006509999999999999,4,PPP2R1A,RNA-seq,20
PPM1D (8493) [CERES],CCDC6,0.0454,0.52805,0.04998,0.90836,0.08598,6,PPM1D,CERES,20
PPM1D (8493) [CERES],DCLRE1B,0.1233,0.19962,0.13444,0.91714,0.6176699999999999,2,PPM1D,CERES,20
PPM1D (8493) [CERES],KNTC1,-0.03894,0.23758,0.00584,-6.66781,-0.1639,8,PPM1D,CERES,20
PPM1D (8493) [CERES],MDM2,0.38484,0.7613300000000001,0.19468,1.97678,0.50548,4,PPM1D,CERES,20
PPM1D (8493) [CERES],NCAPD3,0.02358,0.69377,0.11329000000000003,0.20814,0.03399,3,PPM1D,CERES,20
PPM1D (8493) [CERES],TERF1,0.08567999999999999,0.27816,0.11196,0.76527,0.30802,5,PPM1D,CERES,20
PPM1D (8493) [CERES],TP53,0.28367,0.70514,0.09699,2.92473,0.40229,4,PPM1D,CERES,20
PPM1D (8493) [CERES],TP53BP1,0.1624,0.5815100000000001,0.03357,4.83765,0.27927,4,PPM1D,CERES,20
PPM1D (8493) [CERES],USP7,0.12247,0.3661,0.05498,2.2275400000000003,0.33453,2,PPM1D,CERES,20
ATM (472) [CERES],CCDC6,-0.14484,0.52805,0.04998,-2.89796,-0.27429000000000003,7,ATM,CERES,20
ATM (472) [CERES],CCNF,-0.18815,0.22261,-0.00493,38.1643,-0.8452,1,ATM,CERES,20
ATM (472) [CERES],CDKN1A,0.30594,0.57691,0.12312,2.48489,0.5303100000000001,2,ATM,CERES,20
ATM (472) [CERES],FBXO42,0.00374,0.57575,0.11688,0.032,0.0065,7,ATM,CERES,20
ATM (472) [CERES],PPM1D,0.19307,0.63016,0.20219,0.95489,0.30638000000000004,9,ATM,CERES,20
ATM (472) [CERES],TERF1,-0.03188,0.27816,0.11196,-0.28474,-0.11461,1,ATM,CERES,20
ATM (472) [CERES],TP53,0.33301,0.70514,0.09699,3.43345,0.47226,6,ATM,CERES,20
ATM (472) [CERES],TP53BP1,0.23098,0.5815100000000001,0.03357,6.88055,0.39721,3,ATM,CERES,20
MDM2 (4193) [CERES],CCDC6,-0.08648,0.52805,0.04998,-1.73029,-0.16377,8,MDM2,CERES,20
MDM2 (4193) [CERES],CDKN1A,0.35308,0.57691,0.12312,2.86777,0.61202,3,MDM2,CERES,20
MDM2 (4193) [CERES],KNTC1,-0.05585,0.23758,0.00584,-9.56336,-0.23508,3,MDM2,CERES,20
MDM2 (ENSG00000135679) [RNA-seq],MDM2,0.26792,0.7613300000000001,0.19468,1.37621,0.35191,6,MDM2,RNA-seq,20
MDM2 (4193) [CERES],NCAPD3,0.11401,0.69377,0.11329000000000003,1.00636,0.16433,5,MDM2,CERES,20
MDM2 (4193) [CERES],PPM1D,0.47895,0.63016,0.20219,2.36881,0.76005,2,MDM2,CERES,20
MDM2 (4193) [CERES],PPP2R2A,0.04111,0.35303,0.08327999999999999,0.49364,0.11645,2,MDM2,CERES,20
MDM2 (4193) [CERES],TERF1,0.08678,0.27816,0.11196,0.7751,0.31198000000000004,7,MDM2,CERES,20
MDM2 (4193) [CERES],TP53,0.4561,0.70514,0.09699,4.70255,0.64682,10,MDM2,CERES,20
MDM2 (4193) [CERES],TP53BP1,0.34642,0.5815100000000001,0.03357,10.31933,0.59572,1,MDM2,CERES,20
MDM2 (4193) [CERES],UBE2D3,0.02187,0.22982,0.04493,0.48676,0.09516,2,MDM2,CERES,20
MDM2 (4193) [CERES],USP7,0.3842,0.3661,0.05498,6.988,1.04944,1,MDM2,CERES,20
ZNF32 (ENSG00000169740) [RNA-seq],CCDC6,-0.32794,0.52805,0.04998,-6.56142,-0.6210399999999999,10,ZNF32,RNA-seq,20
MED24 (9862) [CERES],CCNC,-0.01566,0.31945,0.08717000000000001,-0.17965,-0.04902,1,MED24,CERES,30
MED24 (9862) [CERES],MED1,0.16827,0.48959,0.1524,1.1041299999999998,0.3437,1,MED24,CERES,30
MED24 (9862) [CERES],MED12,0.2552,0.5108600000000001,0.1587,1.60807,0.49955,1,MED24,CERES,30
MED24 (9862) [CERES],MED16,0.48325,0.58073,0.10343,4.67224,0.83214,1,MED24,CERES,30
MED24 (9862) [CERES],MED19,0.2525,0.56238,0.10263,2.46029,0.4489800000000001,6,MED24,CERES,30
MED24 (9862) [CERES],MED23,0.36239,0.4521,0.10244,3.53758,0.80157,1,MED24,CERES,30
MED24 (9862) [CERES],MED25,0.15602,0.41129,0.006229999999999999,25.04334,0.37934,2,MED24,CERES,30
MED24 (9862) [CERES],SP1,-0.00551,0.16143,0.054070000000000014,-0.1019,-0.03413,5,MED24,CERES,30
MED24 (9862) [CERES],STRAP,-0.11307,0.3647,0.08953,-1.26293,-0.31004,2,MED24,CERES,30
MED24 (9862) [CERES],TAF6L,-0.03043,0.68311,0.03714,-0.8193299999999999,-0.04455,10,MED24,CERES,30
MED24 (9862) [CERES],ZMYND8,0.14153,0.29483000000000004,0.1185,1.19435,0.48004,2,MED24,CERES,30
MED16 (10025) [CERES],CCNC,0.06565,0.31945,0.08717000000000001,0.75313,0.20551,2,MED16,CERES,30
MED16 (10025) [CERES],MED1,0.05367,0.48959,0.1524,0.35217,0.10962,8,MED16,CERES,30
MED16 (10025) [CERES],MED19,0.05887000000000001,0.56238,0.10263,0.5736100000000001,0.10468,4,MED16,CERES,30
MED16 (10025) [CERES],MED23,0.04472,0.4521,0.10244,0.43655,0.09892,2,MED16,CERES,30
MED16 (10025) [CERES],MED24,0.4832,0.69305,0.19803,2.44003,0.69721,1,MED16,CERES,30
MED16 (10025) [CERES],MED25,0.26324000000000003,0.41129,0.006229999999999999,42.25361,0.6400399999999999,1,MED16,CERES,30
MED16 (10025) [CERES],ZMYND8,-0.03965,0.29483000000000004,0.1185,-0.3346,-0.13448,4,MED16,CERES,30
MED13L (23389) [CERES],CCNC,0.15053,0.31945,0.08717000000000001,1.7268599999999998,0.47122,3,MED13L,CERES,30
MED13L (23389) [CERES],HIRA,-0.12087,0.51898,-0.00656,18.4253,-0.2329,6,MED13L,CERES,30
MED13L (23389) [CERES],LSM12,-0.07352,0.36058,0.03675,-2.00054,-0.20389,8,MED13L,CERES,30
MED13L (23389) [CERES],MED1,-0.04515,0.48959,0.1524,-0.29626,-0.09222,9,MED13L,CERES,30
MED13L (23389) [CERES],MED12,0.11671,0.5108600000000001,0.1587,0.73541,0.22846,6,MED13L,CERES,30
MED13L (23389) [CERES],MED16,0.13015,0.58073,0.10343,1.25834,0.22411,5,MED13L,CERES,30
MED13L (23389) [CERES],MED23,0.11993,0.4521,0.10244,1.1707299999999998,0.26527,7,MED13L,CERES,30
MED13L (23389) [CERES],MED24,0.19621,0.69305,0.19803,0.99081,0.28311,8,MED13L,CERES,30
MED13L (23389) [CERES],MED25,0.07795,0.41129,0.006229999999999999,12.51204,0.18953,8,MED13L,CERES,30
MED19 (219541) [CERES],CCNC,0.19615,0.31945,0.08717000000000001,2.2502,0.61402,4,MED19,CERES,30
MED19 (219541) [CERES],MAU2,-0.05943,0.49897,0.0048,-12.38125,-0.11911,6,MED19,CERES,30
MED19 (219541) [CERES],MED1,0.17817,0.48959,0.1524,1.16909,0.36392,2,MED19,CERES,30
MED19 (219541) [CERES],MED12,0.27546,0.5108600000000001,0.1587,1.73573,0.5392100000000001,2,MED19,CERES,30
MED19 (219541) [CERES],MED16,0.0795,0.58073,0.10343,0.76864,0.1369,4,MED19,CERES,30
MED19 (219541) [CERES],MED23,0.00398,0.4521,0.10244,0.03885,0.0088,5,MED19,CERES,30
MED19 (219541) [CERES],MED24,0.16801,0.69305,0.19803,0.84841,0.24242,3,MED19,CERES,30
MED19 (219541) [CERES],MED25,0.11845,0.41129,0.006229999999999999,19.01284,0.28800000000000003,4,MED19,CERES,30
MED19 (219541) [CERES],MED9,0.04179,0.28422,0.12847,0.32529,0.14703,2,MED19,CERES,30
MED19 (219541) [CERES],NIPBL,-0.04312,0.5696100000000001,0.02,-2.156,-0.0757,8,MED19,CERES,30
MED19 (219541) [CERES],PHF12,0.05576,0.63093,0.05884,0.94765,0.08838,10,MED19,CERES,30
MED19 (219541) [CERES],SGF29,0.15549000000000002,0.64975,0.07728,2.01203,0.23931,9,MED19,CERES,30
MED19 (219541) [CERES],SUPT20H,0.20752,0.8362,0.09577,2.16686,0.24817,8,MED19,CERES,30
MED19 (219541) [CERES],TADA2B,0.16921,0.80262,0.13527999999999998,1.25081,0.21082,9,MED19,CERES,30
MED19 (219541) [CERES],TAF5L,0.22215,0.88474,0.13797,1.6101299999999998,0.25109000000000004,8,MED19,CERES,30
MED19 (219541) [CERES],UBR4,-0.13541,0.58905,0.03204,-4.22628,-0.22988000000000006,4,MED19,CERES,30
MED19 (219541) [CERES],UBR5,-0.08936000000000001,0.56497,0.03341,-2.67465,-0.15817,2,MED19,CERES,30
MED13 (9969) [CERES],CCNC,0.18587,0.31945,0.08717000000000001,2.13227,0.5818399999999999,5,MED13,CERES,30
MED13 (9969) [CERES],MED12,0.11629,0.5108600000000001,0.1587,0.73277,0.22764,5,MED13,CERES,30
MED13 (9969) [CERES],MED16,0.02407,0.58073,0.10343,0.23272,0.04145,9,MED13,CERES,30
MED13 (9969) [CERES],MED24,0.0152,0.69305,0.19803,0.07676000000000001,0.02193,5,MED13,CERES,30
MED13 (9969) [CERES],SMARCD1,-0.05624,0.55815,0.05885,-0.95565,-0.10076,7,MED13,CERES,30
MED13 (9969) [CERES],SUPT20H,0.06788999999999999,0.8362,0.09577,0.7088899999999999,0.08119,10,MED13,CERES,30
MED13 (9969) [CERES],TADA1,-0.12278,0.8266600000000001,0.07891000000000001,-1.55595,-0.14853,9,MED13,CERES,30
MED12 (9968) [CERES],CCNC,0.279,0.31945,0.08717000000000001,3.20064,0.8733799999999999,6,MED12,CERES,30
MED12 (9968) [CERES],EMSY,0.05316,0.66241,0.06769,0.7853399999999999,0.08025,6,MED12,CERES,30
MED12 (9968) [CERES],MAU2,0.01914,0.49897,0.0048,3.9875,0.038360000000000005,7,MED12,CERES,30
MED12 (9968) [CERES],MED1,0.0258,0.48959,0.1524,0.16929,0.0527,6,MED12,CERES,30
MED12 (9968) [CERES],MED16,-0.06154,0.58073,0.10343,-0.59499,-0.10597,6,MED12,CERES,30
MED12 (9968) [CERES],MED19,0.26586,0.56238,0.10263,2.5904700000000003,0.47274,2,MED12,CERES,30
MED12 (9968) [CERES],MED23,0.1282,0.4521,0.10244,1.25146,0.28357,8,MED12,CERES,30
MED12 (9968) [CERES],MED24,0.2564,0.69305,0.19803,1.29475,0.36996,4,MED12,CERES,30
MED12 (9968) [CERES],MED25,0.056629999999999986,0.41129,0.006229999999999999,9.08989,0.13769,5,MED12,CERES,30
MED12 (9968) [CERES],SGF29,0.04221,0.64975,0.07728,0.5462,0.06496,8,MED12,CERES,30
MED12 (9968) [CERES],TADA2B,0.29674,0.80262,0.13527999999999998,2.19352,0.36971,7,MED12,CERES,30
MED12 (9968) [CERES],TAF5L,0.31196,0.88474,0.13797,2.26107,0.3526,7,MED12,CERES,30
MED12 (9968) [CERES],UBR5,-0.08305,0.56497,0.03341,-2.48578,-0.147,8,MED12,CERES,30
MED12 (9968) [CERES],WDR82,-0.06177000000000001,0.23574,0.04309,-1.43351,-0.26203000000000004,4,MED12,CERES,30
TADA3 (10474) [CERES],CCNC,-0.11955,0.31945,0.08717000000000001,-1.37146,-0.37424,9,TADA3,CERES,30
TADA3 (10474) [CERES],SGF29,0.4353,0.64975,0.07728,5.63276,0.66995,7,TADA3,CERES,30
TADA3 (10474) [CERES],SUPT20H,0.38415,0.8362,0.09577,4.01117,0.4594,5,TADA3,CERES,30
TADA3 (10474) [CERES],SUPT7L,-0.0167,0.5108,0.09569,-0.17452,-0.03269,7,TADA3,CERES,30
TADA3 (10474) [CERES],TADA1,0.32227,0.8266600000000001,0.07891000000000001,4.08402,0.38985,7,TADA3,CERES,30
TADA3 (10474) [CERES],TAF5L,0.25698000000000004,0.88474,0.13797,1.86258,0.29046,9,TADA3,CERES,30
TADA3 (10474) [CERES],TAF6L,0.17511,0.68311,0.03714,4.71486,0.25634,6,TADA3,CERES,30
CCND1 (ENSG00000110092) [RNA-seq],CCND1,0.24641,0.49039,0.14934,1.64999,0.50248,1,CCND1,RNA-seq,19
CCND1 (595) [CERES],CDK4,-0.03174,0.24745,0.06836,-0.4643100000000001,-0.12827,2,CCND1,CERES,19
CCND1 (ENSG00000110092) [RNA-seq],CDK4,-0.29043,0.24745,0.06836,-4.24854,-1.17369,3,CCND1,RNA-seq,19
CCND1 (595) [CERES],DYRK1A,0.10727,0.25877,0.05492,1.9532,0.41454,4,CCND1,CERES,19
CCND1 (595) [CERES],E2F3,-0.00414,0.32754,0.08355,-0.04955,-0.01264,8,CCND1,CERES,19
CCND1 (595) [CERES],SKP2,-0.00961,0.42242,0.01415,-0.67915,-0.02275,4,CCND1,CERES,19
CCNE1 (ENSG00000105173) [RNA-seq],CCND1,0.09108,0.49039,0.14934,0.60988,0.18573,3,CCNE1,RNA-seq,19
CCNE1 (ENSG00000105173) [RNA-seq],CCNE1,0.13477,0.4860600000000001,0.04358,3.09247,0.27727,4,CCNE1,RNA-seq,19
CCNE1 (898) [CERES],CDK2,0.23054,0.3821,0.08916,2.58569,0.60335,1,CCNE1,CERES,19
CCNE1 (898) [CERES],CDK6,0.13569,0.26786,0.15758,0.8610899999999999,0.50657,6,CCNE1,CERES,19
CCNE1 (898) [CERES],SKP2,0.12872999999999998,0.42242,0.01415,9.09753,0.30474,5,CCNE1,CERES,19
CCND3 (ENSG00000112576) [RNA-seq],CCND1,-0.06702000000000001,0.49039,0.14934,-0.44877,-0.13667,4,CCND3,RNA-seq,19
CCND3 (ENSG00000112576) [RNA-seq],CCND3,0.18174,0.34881,0.20169,0.90109,0.52103,3,CCND3,RNA-seq,19
RBL1 (5933) [CERES],CCND1,-0.00421,0.49039,0.14934,-0.02819,-0.00859,6,RBL1,CERES,19
RBL1 (5933) [CERES],CCNF,0.04122,0.22261,-0.00493,-8.36105,0.18517,5,RBL1,CERES,19
RBL1 (5933) [CERES],E2F3,0.1075,0.32754,0.08355,1.28665,0.3282,1,RBL1,CERES,19
SOWAHD (ENSG00000187808) [RNA-seq],CCND1,-0.08088,0.49039,0.14934,-0.5415800000000001,-0.16493,7,SOWAHD,RNA-seq,19
MAP4K1 (ENSG00000104814) [RNA-seq],CCND1,-0.00788,0.49039,0.14934,-0.05277,-0.016069999999999997,8,MAP4K1,RNA-seq,19
CTTN (ENSG00000085733) [RNA-seq],CCND1,0.02418,0.49039,0.14934,0.16191,0.04931,9,CTTN,RNA-seq,33
CTTN (ENSG00000085733) [RNA-seq],FADD,-0.06009,0.27214,0.08612,-0.69775,-0.22081,7,CTTN,RNA-seq,33
CTTN (2017) [CN],FADD,0.00867,0.27214,0.08612,0.10067,0.03186,8,CTTN,CN,33
LHX2 (ENSG00000106689) [RNA-seq],CCND1,0.00249,0.49039,0.14934,0.016669999999999997,0.00508,10,LHX2,RNA-seq,19
AC008012.1 (ENSG00000285901) [RNA-seq],CCND2,-0.01321,0.21509,0.00572,-2.30944,-0.06142,1,AC008012.1,RNA-seq,12
CCND2 (ENSG00000118971) [RNA-seq],CCND2,0.15598,0.21509,0.00572,27.26923,0.72518,2,CCND2,RNA-seq,12
SUB1 (ENSG00000113387) [RNA-seq],CCND2,-0.26634,0.21509,0.00572,-46.56294000000001,-1.23827,3,SUB1,RNA-seq,12
AC007207.1 (ENSG00000242444) [RNA-seq],CCND2,-0.00192,0.21509,0.00572,-0.33566,-0.00893,4,AC007207.1,RNA-seq,12
TNFRSF17 (ENSG00000048462) [RNA-seq],CCND2,-0.1924,0.21509,0.00572,-33.63636,-0.89451,5,TNFRSF17,RNA-seq,12
MEF2C (4208) [CERES],CCND2,-0.47634,0.21509,0.00572,-83.27622,-2.21461,6,MEF2C,CERES,12
IRF4 (3662) [CERES],CCND2,-0.02747,0.21509,0.00572,-4.80245,-0.12771,7,IRF4,CERES,12
CORO1B (ENSG00000172725) [RNA-seq],CCND2,-0.00894,0.21509,0.00572,-1.56294,-0.04156,9,CORO1B,RNA-seq,12
HK1 (ENSG00000156515) [RNA-seq],CCND2,-0.12283,0.21509,0.00572,-21.47378,-0.57106,10,HK1,RNA-seq,12
NLRC3 (ENSG00000167984) [RNA-seq],CCND3,0.08175,0.34881,0.20169,0.40533,0.23437,1,NLRC3,RNA-seq,19
PTPRC (ENSG00000081237) [RNA-seq],CCND3,0.23751,0.34881,0.20169,1.1776,0.68092,2,PTPRC,RNA-seq,19
CD52 (ENSG00000169442) [RNA-seq],CCND3,0.038,0.34881,0.20169,0.18841,0.10894,4,CD52,RNA-seq,19
ACAP1 (ENSG00000072818) [RNA-seq],CCND3,0.15827,0.34881,0.20169,0.78472,0.45374,5,ACAP1,RNA-seq,19
RND3 (ENSG00000115963) [RNA-seq],CCND3,0.08501,0.34881,0.20169,0.42149,0.24371,6,RND3,RNA-seq,19
GPSM3 (ENSG00000213654) [RNA-seq],CCND3,0.23444,0.34881,0.20169,1.16238,0.67211,7,GPSM3,RNA-seq,19
CACNA2D4 (ENSG00000151062) [RNA-seq],CCND3,0.09111,0.34881,0.20169,0.45173,0.2612,8,CACNA2D4,RNA-seq,19
CFAP69 (ENSG00000105792) [RNA-seq],CCND3,0.01466,0.34881,0.20169,0.07269,0.04203,10,CFAP69,RNA-seq,19
CDK2 (1017) [CERES],CCNE1,0.41693,0.4860600000000001,0.04358,9.567,0.85777,1,CDK2,CERES,19
CDK2 (1017) [CERES],E2F3,0.1212,0.32754,0.08355,1.45063,0.37003,9,CDK2,CERES,19
CDK2 (1017) [CERES],SKP2,0.19462,0.42242,0.01415,13.75406,0.46073,2,CDK2,CERES,19
CKS1B (1163) [CERES],CCNE1,0.02052,0.4860600000000001,0.04358,0.4708600000000001,0.04222,3,CKS1B,CERES,19
CKS1B (1163) [CERES],CDK2,0.2521,0.3821,0.08916,2.8275,0.65977,5,CKS1B,CERES,19
CKS1B (1163) [CERES],SKP2,0.36988,0.42242,0.01415,26.13993,0.8756200000000001,1,CKS1B,CERES,19
CKS1B (1163) [CERES],UBE2Q1,-0.03592,0.25011,0.0679,-0.5290100000000001,-0.14362,5,CKS1B,CERES,19
LGALS14 (56891) [CN],CCNE1,-0.01838,0.4860600000000001,0.04358,-0.42175,-0.03781,5,LGALS14,CN,19
SSC4D (ENSG00000146700) [RNA-seq],CCNE1,0.0163,0.4860600000000001,0.04358,0.37402,0.033530000000000004,6,SSC4D,RNA-seq,19
SKP2 (6502) [CERES],CCNE1,0.1295,0.4860600000000001,0.04358,2.97155,0.26643,7,SKP2,CERES,19
SKP2 (6502) [CERES],CDK2,0.0724,0.3821,0.08916,0.81202,0.18948,2,SKP2,CERES,19
SKP2 (6502) [CERES],E2F3,0.1933,0.32754,0.08355,2.31358,0.59016,3,SKP2,CERES,19
AL133523.1 (ENSG00000258982) [RNA-seq],CCNE1,-0.12963,0.4860600000000001,0.04358,-2.97453,-0.2667,8,AL133523.1,RNA-seq,19
MAP3K10 (4294) [CN],CCNE1,-0.15437,0.4860600000000001,0.04358,-3.54222,-0.31759,9,MAP3K10,CN,19
AC015922.2 (ENSG00000265519) [RNA-seq],CCNE1,-0.07025,0.4860600000000001,0.04358,-1.61198,-0.14453,10,AC015922.2,RNA-seq,19
KPNB1 (3837) [CERES],CCNF,0.01063,0.22261,-0.00493,-2.15619,0.04775,2,KPNB1,CERES,19
KPNB1 (3837) [CN],PDCD6IP,0.0475,0.3612,0.06429,0.7388399999999999,0.13151,10,KPNB1,CN,19
LIN54 (132660) [CERES],CCNF,-0.15699000000000002,0.22261,-0.00493,31.84381,-0.70522,3,LIN54,CERES,19
E2F3 (1871) [CERES],CCNF,0.1151,0.22261,-0.00493,-23.34686,0.51705,4,E2F3,CERES,19
E2F3 (1871) [CERES],CDK2,0.08786000000000001,0.3821,0.08916,0.98542,0.22994,4,E2F3,CERES,19
E2F3 (ENSG00000112242) [RNA-seq],E2F3,-0.0541,0.32754,0.08355,-0.64752,-0.16517,10,E2F3,RNA-seq,19
E2F3 (1871) [CERES],SKP2,0.16917,0.42242,0.01415,11.95548,0.40048,3,E2F3,CERES,19
AL161431.1 (ENSG00000275216) [RNA-seq],CCNF,-0.14902,0.22261,-0.00493,30.22718,-0.66942,7,AL161431.1,RNA-seq,19
TM4SF19-AS1 (ENSG00000235897) [RNA-seq],CCNF,-0.11159,0.22261,-0.00493,22.63489,-0.5012800000000001,8,TM4SF19-AS1,RNA-seq,19
ZWINT (11130) [CERES],CCNF,-0.15836,0.22261,-0.00493,32.1217,-0.71138,10,ZWINT,CERES,19
ANKRD65 (441869) [CN],CCNL1,0.10827,0.10266,0.05538,1.95504,1.05465,1,ANKRD65,CN,22
VWA1 (64856) [CN],CCNL1,0.11059,0.10266,0.05538,1.99693,1.07725,2,VWA1,CN,22
C1QTNF12 (388581) [CN],CCNL1,0.09796,0.10266,0.05538,1.7688700000000002,0.95422,3,C1QTNF12,CN,22
SSU72 (ENSG00000160075) [RNA-seq],CCNL1,-0.15815,0.10266,0.05538,-2.8557200000000003,-1.54052,4,SSU72,RNA-seq,22
DVL1 (1855) [CN],CCNL1,0.10866,0.10266,0.05538,1.96208,1.05845,5,DVL1,CN,22
SCNN1D (6339) [CN],CCNL1,0.12519,0.10266,0.05538,2.26056,1.21946,6,SCNN1D,CN,22
CALML6 (163688) [CN],CCNL1,0.1171,0.10266,0.05538,2.11448,1.14066,7,CALML6,CN,22
RNF223 (401934) [CN],CCNL1,0.09677,0.10266,0.05538,1.74738,0.94263,8,RNF223,CN,22
RNF223 (ENSG00000237330) [RNA-seq],ITGB1,0.04193,0.12783,0.14865,0.28207,0.32801,10,RNF223,RNA-seq,22
RNF223 (ENSG00000237330) [RNA-seq],RAB10,-0.14553,0.5512100000000001,0.17757,-0.8195600000000001,-0.26402,3,RNF223,RNA-seq,22
RNF223 (ENSG00000237330) [RNA-seq],STXBP3,-0.0683,0.50725,0.17105,-0.3993,-0.13465,9,RNF223,RNA-seq,22
TTLL10 (254173) [CN],CCNL1,0.1047,0.10266,0.05538,1.89057,1.01987,9,TTLL10,CN,22
CDC42BPG (ENSG00000171219) [RNA-seq],CCNL1,-0.05921000000000001,0.10266,0.05538,-1.06916,-0.57676,10,CDC42BPG,RNA-seq,22
C15orf41 (84529) [CERES],CDAN1,0.1806,0.3728,0.12795,1.41149,0.48444,1,C15orf41,CERES,4
DNAJC9 (23234) [CERES],CDAN1,0.00466,0.3728,0.12795,0.03642,0.0125,2,DNAJC9,CERES,4
KLK6 (ENSG00000167755) [RNA-seq],CDAN1,-0.08535,0.3728,0.12795,-0.66706,-0.22894,3,KLK6,RNA-seq,4
F2RL1 (ENSG00000164251) [RNA-seq],CDAN1,0.03942,0.3728,0.12795,0.30809000000000003,0.10574,4,F2RL1,RNA-seq,4
PDE4B (ENSG00000184588) [RNA-seq],CDAN1,-0.07037,0.3728,0.12795,-0.54998,-0.18876,5,PDE4B,RNA-seq,4
PKP2 (ENSG00000057294) [RNA-seq],CDAN1,-0.14661,0.3728,0.12795,-1.14584,-0.39327,6,PKP2,RNA-seq,4
ISG15 (ENSG00000187608) [RNA-seq],CDAN1,-0.14605,0.3728,0.12795,-1.14146,-0.39177,8,ISG15,RNA-seq,4
BATF2 (ENSG00000168062) [RNA-seq],CDAN1,-0.14052,0.3728,0.12795,-1.09824,-0.37693,9,BATF2,RNA-seq,4
OSBPL10 (ENSG00000144645) [RNA-seq],CDAN1,-0.08048,0.3728,0.12795,-0.629,-0.21588,10,OSBPL10,RNA-seq,4
AFDN (4301) [CERES],CDC42,0.18126,0.34581,0.13463,1.34636,0.5241600000000001,1,AFDN,CERES,13
AFDN (4301) [CERES],CDH2,-0.02834,0.28439000000000003,0.11379,-0.24906,-0.09965,7,AFDN,CERES,13
AFDN (4301) [CERES],CTNNA1,-0.03202,0.42774,0.05172,-0.6191,-0.07486,2,AFDN,CERES,13
AFDN (4301) [CERES],MAP4K4,0.17783,0.40793,0.08627,2.0613200000000003,0.43593,4,AFDN,CERES,13
AFDN (4301) [CERES],PTDSS1,-0.202,0.13769,0.07579,-2.66526,-1.46706,1,AFDN,CERES,13
AFDN (4301) [CERES],TEAD1,0.1309,0.23704,0.16594,0.78884,0.55223,10,AFDN,CERES,13
PTK2 (5747) [CERES],CDC42,0.06573999999999999,0.34581,0.13463,0.4883,0.1901,2,PTK2,CERES,13
PTK2 (5747) [CERES],CFL1,-0.01365,0.35585,0.1615,-0.08452,-0.038360000000000005,7,PTK2,CERES,13
PTK2 (5747) [CERES],ELMO2,0.28949,0.48804,0.17507,1.65357,0.59317,1,PTK2,CERES,13
PTK2 (5747) [CERES],ILK,0.25194,0.64063,0.19096,1.31933,0.39327,2,PTK2,CERES,13
PTK2 (5747) [CERES],ITGAV,0.33466,0.71332,0.23696,1.41231,0.46916,2,PTK2,CERES,13
PTK2 (5747) [CERES],ITGB5,0.030410000000000006,0.43619,0.13319,0.22832,0.06972,3,PTK2,CERES,13
PTK2 (5747) [CERES],NCKAP1,0.17013,0.55429,0.16394,1.03776,0.30693000000000004,8,PTK2,CERES,13
PTK2 (5747) [CERES],RAC1,0.42625,0.58886,0.17895,2.38195,0.7238600000000001,2,PTK2,CERES,13
PTK2 (5747) [CERES],TAOK1,0.23898000000000005,0.58692,0.16321,1.46425,0.40718,7,PTK2,CERES,13
RAPGEF2 (9693) [CERES],CDC42,-0.0548,0.34581,0.13463,-0.40704,-0.15847,3,RAPGEF2,CERES,13
RAPGEF2 (ENSG00000109756) [RNA-seq],SCAP,-0.05889,0.67416,0.0542,-1.08653,-0.08735,7,RAPGEF2,RNA-seq,13
SPINT1-AS1 (ENSG00000261183) [RNA-seq],CDC42,0.00945,0.34581,0.13463,0.07019,0.02733,4,SPINT1-AS1,RNA-seq,13
MAP4K4 (9448) [CERES],CDC42,0.0536,0.34581,0.13463,0.39813,0.155,5,MAP4K4,CERES,13
MAP4K4 (9448) [CERES],CRKL,0.10129,0.53294,0.13589,0.74538,0.19006,9,MAP4K4,CERES,13
MAP4K4 (9448) [CERES],CSNK2A1,-0.11361,0.10769,0.01992,-5.70331,-1.05497,9,MAP4K4,CERES,13
MAP4K4 (9448) [CERES],NF2,-0.1059,0.44757,0.04677,-2.26427,-0.23661,5,MAP4K4,CERES,13
